model,min,T,A
A_T1_C,0.01,55.76,0.0345
A_T1_C,0.04,55.79,0.0345
A_T1_C,0.01,55.82,0.0345
A_T1_C,0.02,55.84,0.0345
A_T1_C,0.03,55.87,0.0345
A_T1_C,0.02,55.9,0.0345
A_T1_C,0.03,55.92,0.0345
A_T1_C,0.02,55.95,0.0345
A_T1_C,0.03,55.98,0.0345
A_T1_C,0.02,56.01,0.0345
A_T1_C,0.03,56.03,0.0345
A_T1_C,0.02,56.06,0.0345
A_T1_C,0.02,56.08,0.0345
A_T1_C,0.03,56.11,0.0345
A_T1_C,0.02,56.14,0.0345
A_T1_C,0.03,56.17,0.0345
A_T1_C,0.02,56.2,0.0345
A_T1_C,0.03,56.21,0.0345
A_T1_C,0.02,56.24,0.0345
A_T1_C,0.01,56.28,0.0345
A_T1_C,0.04,56.31,0.0345
A_T1_C,0.01,56.32,0.0345
A_T1_C,0.04,56.35,0.0345
A_T1_C,0.01,56.37,0.0345
A_T1_C,0.04,56.41,0.0345
A_T1_C,0.01,56.43,0.0345
A_T1_C,0.02,56.46,0.0345
A_T1_C,0.03,56.49,0.0345
A_T1_C,0.02,56.51,0.0345
A_T1_C,0.03,56.54,0.0345
A_T1_C,0.02,56.57,0.0345
